"location","count","latitude","longitude"
5373375,9,45.62163,-94.20694
5271152,1,16.93694,-91.81694
5487220,1,48.89643,2.0904
5203686,31,35.75118,-86.93
5264823,2,47.3445,-1.5283
5262469,3,40.95732,-73.96347
5240711,4,45.78578,-92.38103
5190741,5,42.63701,-76.17882
5283842,1,42.23417,-71.37534
5252217,3,43.89554,-103.41825
5196773,2,43.25474,-86.10978
5206284,2,35.08398,-92.20793
5264077,1,42.09869,-75.91797
5192065,1,52.90103,0.62553
5216783,1,-17.13886,145.20849
5222304,11,40.25452,-79.16753
5376019,1,35.74291,-81.51343
5290337,4,40.66593,-73.48818
5207993,1,32.71571,-117.16472
5210809,1,50.16389,1.76297
5216511,14,42.21393,-83.19381
5229382,4,46.88529,-103.19962
5299320,1,49.74747,13.37759
5279829,5,48.74103,-117.41719
5219823,3,-34.06667,150.81667
5252091,3,36.54003,-104.54332
5204365,39,41.36838,-82.10765
5267933,1,51.14236,3.1368
5249000,1,37.4716,-121.12966
5193944,3,38.69678,-76.84775
5266713,3,39.30227,-90.40706
5303138,7,41.03345,-95.62133
5235623,7,43.00201,-75.97686
5483456,1,40.10035,-79.58698
5266306,1,41.44283,-80.20784
5197892,2,-31.7,-68.46667
5190159,1,35.91282,-100.38208
5264133,1,43.3944,6.3134
5191414,43,24.97624,-80.55228
5289955,1,31.98738,-90.35704
5246609,1,44.41468,-90.7307
5394892,1,31.71655,-86.26385
5258345,1,29.76328,-95.36327
5198002,10,43.00114,-84.55915
5221000,30,42.48059,-83.47549
5267960,1,37.77493,-122.41942
5239539,1,52.85,6.60833
5224426,1,-34.47131,150.86755
5191857,15,33.08014,-83.2321
5304107,3,26.17035,-98.05195
5248490,1,48.72028,5.27833
5225797,7,39.02018,-120.81799
5205300,1,32.08354,-81.09983
5237083,4,43.0275,-98.88842
5303979,1,18.18158,76.03889
5215531,30,41.57704,-73.40845
5280315,1,29.38552,-95.48105
5395270,14,40.95842,-75.97465
5240774,1,-36.55113,145.98425
5215679,5,50.8,-3.81667
5288323,7,36.75356,-120.38156
5228732,11,47.47399,-122.26096
5195132,1,50.91947,4.9476
5300863,1,45.20413,-91.55822
5204124,3,39.14166,-104.08385
5270867,1,41.34255,-8.48869
5190336,9,39.02778,-94.65579
5196031,244,43.15478,-77.61556
5262446,1,29.31079,-98.81003
5226665,2,41.82834,-97.45505
5190148,3,52.34446,0.51086
5190480,44,42.50056,-90.66457
5285052,3,43.51731,-70.37755
5262651,5,41.25571,-122.13945
5245657,3,40.35424,-79.64838
5238017,2,52.00667,4.35556
5188349,9,26.33583,127.80139
5385806,1,38.48612,-97.22808
5274072,1,41.46671,-86.48307
5234776,2,-27.28699,-51.68164
5216461,7,29.94048,-91.02482
5250275,1,38.62636,-112.21715
5213637,2,47.60621,-122.33207
5264564,1,44.65273,-95.53835
5270547,1,51.07614,4.72446
5379028,1,36.87818,10.32466
5252450,1,36.03865,-98.96371
5192876,1,-5.50556,-45.24333
5204188,16,34.98898,-90.01259
5227659,14,45.864,-122.80649
5303771,1,43.23867,-78.90976
5226334,3,35.37674,-87.00612
5376376,3,40.34887,-104.70191
5190597,2,39.40145,-83.18074
5512609,2,40.01444,-74.82611
5260810,1,-28.00274,153.42999
5228308,21,34.19731,-118.64398
5219580,2,37.61706,-81.11482
5209992,16,37.02089,-93.20602
5209020,1,38.50647,-82.29848
5230125,3,43.87683,-116.99488
5249169,1,40.53532,16.18458
5280593,2,41.46083,126.64139
5418257,5,44.39276,-88.73983
5301872,5,40.14841,-79.88783
5247370,14,32.08088,34.78057
5271447,1,30.03743,-84.38768
5238933,1,40.93788,-72.30092
5262130,2,40.85288,-74.04208
5250614,4,38.74307,-94.06994
5402820,1,-43.48333,172.11667
5265996,8,50.90487,-0.40649
5304260,3,31.90425,-110.21424
5255509,1,32.72532,-114.6244
5277707,1,-16.55228,-68.68108
5251456,2,23.37327,113.51219
5188701,1,37.08043,-77.99723
5217918,2,31.70513,-103.59935
5209810,1,45.91611,-0.60167
5246162,1,40.25034,-83.00018
5220684,1,46.39107,-95.32142
5206873,1,34.89859,-117.02282
5205347,1,33.58621,-86.28609
5213989,2,37.49311,-95.47026
5298254,9,35.93396,-84.55244
5224596,4,40.85677,-73.46957
5198048,22,30.42059,-86.61707
5208762,192,44.45243,-116.78477
5219713,2,42.58203,-72.49259
5215520,9,40.26454,-75.80409
5244062,2,57.90901,14.08997
5191233,7,42.71676,-70.87866
5464413,1,51.68593,-0.31868
5252773,2,41.7282,-122.5278
5204555,24,40.70911,-112.10161
5374994,1,10.82327,106.62978
5211833,6,39.07251,-93.71716
5213332,61,53.99983,-125.0032
5235249,1,55.6519,-3.1888
5269830,2,38.18109,20.48903
5195301,32,29.02582,-80.927
5268708,9,39.89645,-82.42015
5280798,1,40.71427,-74.00597
5239220,3,43.58,21.33389
5288265,3,27.30688,-98.68032
5258904,2,39.79282,-87.37085
5224716,22,32.34153,-90.32176
5191854,2,44.04861,43.05944
5270180,1,45.59777,9.04634
5479369,1,8.42729,-82.43085
5262433,1,53.33306,-6.24889
5191628,16,41.35033,-83.12186
5206143,5,43.10867,-77.4875
5293470,10,39.84338,-86.39777
5279180,6,44.28034,-71.68814
5194944,31,47.94454,-122.30458
5401303,3,28.67748,-99.82811
5395889,8,41.4756,-81.8393
5190728,1,48.9861,-97.5548
5260790,2,37.77009,26.92421
5281193,1,43.43417,6.14194
5248619,1,47.79746,-3.19364
5234226,2,14.6937,-17.44406
5216219,1,41.4995,-81.69541
5252772,1,39.16706,-75.44825
5217957,4,37.6659,-85.95663
5242067,6,34.14254,-109.96038
5218001,1,42.4425,-72.80646
5304598,8,43.0484,-75.3785
5467119,1,51.41082,-0.6748
5248602,1,30.44686,-86.90691
5205701,1,48.62584,-99.37792
5247338,3,40.6359,-78.29585
6103412,1,35.59194,-114.27329
5371808,1,37.59727,-89.71288
5295922,2,38.56144,-89.89732
5210071,30,36.03072,-75.67601
5208537,40,41.12389,-100.76542
5220406,6,39.62894,-84.64856
5204992,6,41.85315,-74.13903
5375537,1,41.77832,-96.22113
5268027,1,-33.95126,151.16196
5296243,20,33.53375,-82.13067
5204947,26,1.28967,103.85007
5291416,2,46.77227,-67.83391
5470312,1,27.32351,62.56796
