"location","count","latitude","longitude"
5221345,1,-23.35644,119.73553
5213814,20,38.79345,-77.27165
5201080,1,-26.91667,-65.5
5227878,6,34.17817,-82.37901
5241255,2,41.20766,-8.66743
5437150,2,44.74571,-118.20216
5243972,7,44.899,-71.41453
5188745,49,41.95844,-70.66726
5204730,49,38.90008,-82.44571
6103003,1,28.55472,-81.10645
5210628,17,46.50992,-114.09316
5214208,52,40.72816,-74.07764
5424085,3,41.68746,-106.41335
5214056,2,-14.3325,-75.49972
5215873,5,42.0751,-70.88004
5378311,7,44.33783,-72.75623
5242012,1,-43.53333,172.63333
5389169,2,32.24995,34.91737
5488759,2,40.20224,-93.12521
5199568,1,28.02252,-81.61924
5215572,175,40.25034,-83.00018
5418124,2,41.32172,-80.25867
5387951,2,36.79592,-95.93554
5227970,1,48.5935,9.35971
5264813,3,38.01492,-121.64051
5397232,1,48.77514,-95.81082
5243481,1,57.89682,16.16792
5199407,3,-37.33333,-59.25
5503995,1,55.93464,-4.6895
5200972,1,53.42324,-3.06497
5290460,5,44.46533,-72.68456
5253075,27,31.14995,-81.49149
5414331,6,38.75839,-85.80803
5443963,2,18.01913,-66.79184
5537487,1,48.61299,-93.34876
5215056,1,38.67851,-121.22578
5196726,1,42.68226,141.57948
5215374,9,42.00392,-87.97035
5227146,1,48.57306,0.33917
5222811,1,51.78967,1.15597
5229717,2,52.6466,-1.19493
6102893,1,47.20427,-121.9915
5224399,8,-45.87416,170.50361
5532524,1,46.06433,-88.63289
5204613,3,51.5,-0.56667
5418802,4,33.55391,-117.21392
5294734,1,19.65611,-97.10778
5585352,2,32.86856,35.21171
5235020,1,-34.09468,142.03966
5246386,2,42.69202,-73.72456
5263573,2,51.51686,0.19432
5506068,1,37.6497,-112.43437
5217215,58,36.0526,-95.79082
5234165,1,39.38984,-74.52404
5389938,1,40.71427,-74.00597
5244913,7,36.78555,-108.68703
5211152,8,37.5841,-122.36608
5214677,1,53.46726,-1.14261
5411518,1,39.77443,-105.05554
5224792,39,43.30453,-70.97562
5219965,2,40.45328,-111.77799
5221305,167,-17.01902,145.74443
5230690,3,42.08333,13.66667
5418411,1,35.22709,-80.84313
5488910,2,-32.88754,151.40219
5514410,1,-33.31667,149.63333
5229697,1,39.93727,-84.55329
5219644,6,47.3202,3.4091
5208457,3,46.63115,-68.40615
5379433,3,37.78144,-89.11925
5558441,1,37.10206,-81.1162
